,,,,,,,,,,,,,,"Summary Statistics for Information and Communication Establishments by Geolocation, Industry Description, Year and Data Items"
..National Capital Region,..Television programming and broadcasting activities,33,9364,9355,18,64353228,60797202,21857909,38939294,35842832,974372,-68985,-,-
..National Capital Region,..Wired telecommunications activities,17,10646,10646,-,99056275,80882101,14619692,66262409,59790201,25233749,-961812,-,-
..National Capital Region,..Wireless telecommunications activities,36,11253,11163,38,222993411,196062160,21646835,174415325,111015480,56154311,1049314,5193,-
..National Capital Region,..Satellite telecommunications activities,40,3080,3080,66,22393963,21176940,2623087,18553853,7394597,4149210,150011,-,-
..National Capital Region,..Other telecommunications activities,369,6256,6170,293,13260361,13149458,2036899,11112559,2798950,79917,-47666,-,-
..National Capital Region,"..Computer programming, consultancy and related activities",731,74430,74381,1331,128117510,115944767,54369417,61575350,74153399,4043200,187420,148826,-
..National Capital Region,"..Data processing, hosting and related activities; web portals",48,12526,12526,9,24619139,9027355,4966757,4060598,14870581,446506,530,-,7728
..National Capital Region,..Other information service activities,29,1015,1015,132,3635262,2273137,482670,1790467,1788160,32515,-2212,-,-
..Cordillera Administrative Region,Information and Communication,105,1564,1488,3,881869,668848,309871,358977,622653,7786,1659,-,-
..Cordillera Administrative Region,"..Publishing of books, periodicals and other publishing activities",8,210,210,-,95543,78771,48824,29947,71472,1112,-1568,-,-
..Cordillera Administrative Region,..Software publishing,,,,,,,,,,,,,
..Cordillera Administrative Region,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Cordillera Administrative Region,..Radio broadcasting,12,185,185,3,158261,127081,48432,78650,96293,1333,-104,-,-
..Cordillera Administrative Region,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Wired telecommunications activities,,,,,,,,,,,,,
..Cordillera Administrative Region,..Wireless telecommunications activities,,,,,,,,,,,,,
..Cordillera Administrative Region,..Satellite telecommunications activities,3,78,77,-,24687,17821,5538,12282,17162,3455,2198,-,-
..Cordillera Administrative Region,..Other telecommunications activities,76,175,100,-,51845,39961,9535,30426,24606,386,-131,-,-
..Cordillera Administrative Region,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Other information service activities,,,,,,,,,,,,,
..Ilocos Region,Information and Communication,136,1586,1553,617,5129195,3545868,810764,2735104,3260480,57843,-2554,-,-
..Ilocos Region,"..Publishing of books, periodicals and other publishing activities",3,7,7,6,2519,2154,798,1357,1293,-,-,-,-
..Ilocos Region,..Software publishing,,,,,,,,,,,,,
..Ilocos Region,"..Motion picture, video and television programme activities",5,63,63,-,841172,202995,17892,185103,694535,-,2,-,-
..Ilocos Region,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Ilocos Region,..Radio broadcasting,30,309,308,4,176337,149295,59712,89583,100039,355,-154,-,-
..Ilocos Region,..Television programming and broadcasting activities,4,75,75,-,788176,758301,281700,476600,450445,-,3084,-,-
..Ilocos Region,..Wired telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Wireless telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Satellite telecommunications activities,8,176,176,-,97144,84623,17978,66645,40809,13121,8,-,-
..Ilocos Region,..Other telecommunications activities,80,535,503,14,1109609,848786,56843,791943,350576,44366,-5361,-,-
..Ilocos Region,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Other information service activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,Information and Communication,97,877,854,18,1400735,1139929,251639,888291,597468,47380,-1693,706,-
..Cagayan Valley,"..Publishing of books, periodicals and other publishing activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Software publishing,,,,,,,,,,,,,
..Cagayan Valley,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Cagayan Valley,..Radio broadcasting,12,147,142,5,67598,45239,22803,22436,47728,254,-258,-,-
..Cagayan Valley,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Wired telecommunications activities,,,,,,,,,,,,,
..Cagayan Valley,..Wireless telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Satellite telecommunications activities,29,420,419,8,269780,210460,59595,150865,132861,11656,-1379,706,-
..Cagayan Valley,..Other telecommunications activities,48,186,172,5,102165,93255,37733,55522,31063,526,-1582,-,-
..Cagayan Valley,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,"..Data processing, hosting and related activities; web portals",,,,,,,,,,,,,
..Cagayan Valley,..Other information service activities,,,,,,,,,,,,,
..Central Luzon,Information and Communication,212,6088,6061,461,19406819,17562201,1929067,15633134,7566382,93379,92147,44895,10
..Central Luzon,"..Publishing of books, periodicals and other publishing activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Luzon,..Software publishing,,,,,,,,,,,,,
..Central Luzon,"..Motion picture, video and television programme activities",21,239,239,32,827051,474937,55146,419791,504905,908,-919,13174,-
..Central Luzon,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Central Luzon,..Radio broadcasting,18,351,349,3,608612,274934,103237,171698,476011,1305,20,-,10
..Central Luzon,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Luzon,..Wired telecommunications activities,3,50,50,22,232320,49441,4919,44522,194572,2628,63,-,-
..Central Luzon,..Wireless telecommunications activities,5,2052,2052,69,9902912,9464449,714824,8749625,4555391,693,-2,-,-
..Central Luzon,..Satellite telecommunications activities,37,678,678,33,731985,489296,144704,344592,462136,34200,-2263,-,-
..Central Luzon,..Other telecommunications activities,99,371,345,211,437938,381149,62523,318626,157056,5858,37,-,-
..Central Luzon,"..Computer programming, consultancy and related activities",19,1004,1004,91,5676743,5496071,377111,5118960,557361,28244,92744,31721,-
..Central Luzon,"..Data processing, hosting and related activities; web portals",5,1157,1157,-,413181,359088,269073,90015,346106,12488,-1,-,-
..Central Luzon,..Other information service activities,,,,,,,,,,,,,
..CALABARZON,Information and Communication,404,4955,4830,364,5253751,4124659,963408,3161251,2706075,540124,-6734,7144,6
..CALABARZON,"..Publishing of books, periodicals and other publishing activities",9,356,353,2,266596,239303,44002,195302,87720,3598,-3777,-,-
..CALABARZON,..Software publishing,,,,,,,,,,,,,
..CALABARZON,"..Motion picture, video and television programme activities",24,358,358,195,1484970,1153676,110565,1043111,777730,201568,430,-,-
..CALABARZON,..Sound recording and music publishing activities,,,,,,,,,,,,,
..CALABARZON,..Radio broadcasting,15,173,164,85,47957,37380,10588,26792,25185,1,-1,-,6
..CALABARZON,..Television programming and broadcasting activities,3,36,36,-,378325,363984,135216,228768,216214,-,1480,-,-
..CALABARZON,..Wired telecommunications activities,4,97,97,2,66651,63275,15973,47303,30555,5238,190,-,-
..CALABARZON,..Wireless telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,..Satellite telecommunications activities,59,1222,1215,9,1320319,902244,184505,717739,705041,226541,-4201,-,-
..CALABARZON,..Other telecommunications activities,272,1083,977,24,607746,457325,114321,343004,304169,803,-556,-,-
..CALABARZON,"..Computer programming, consultancy and related activities",13,496,496,-,333594,305193,106200,198993,151755,833,-267,5994,-
..CALABARZON,"..Data processing, hosting and related activities; web portals",3,1106,1106,48,714023,578972,232090,346882,385560,101542,-,1150,-
..CALABARZON,..Other information service activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,Information and Communication,82,2912,2892,-,11905579,10352595,7271911,3080685,9387774,841670,-4082,-,1
..MIMAROPA Region,"..Publishing of books, periodicals and other publishing activities",3,35,35,-,427912,62348,15326,47022,398109,-,-,-,-
..MIMAROPA Region,..Software publishing,,,,,,,,,,,,,
..MIMAROPA Region,"..Motion picture, video and television programme activities",,,,,,,,,,,,,
..MIMAROPA Region,..Sound recording and music publishing activities,,,,,,,,,,,,,
..MIMAROPA Region,..Radio broadcasting,9,54,54,-,11381,14399,8108,6291,5893,-,-2,-,1
..MIMAROPA Region,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,..Wired telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,..Wireless telecommunications activities,,,,,,,,,,,,,
..MIMAROPA Region,..Satellite telecommunications activities,27,598,592,-,237624,126805,53447,73358,198914,2250,-5331,-,-
..MIMAROPA Region,..Other telecommunications activities,36,137,123,-,27589,25026,7588,17438,15666,417,166,-,-
..MIMAROPA Region,"..Computer programming, consultancy and related activities",4,1941,1941,-,10797905,9769497,7034320,2735177,8514975,839004,36,-,-
..MIMAROPA Region,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,..Other information service activities,,,,,,,,,,,,,
..Bicol Region,Information and Communication,169,2107,2004,22,1862223,1801636,688230,1113406,1011730,34037,1232,1427,18
..Bicol Region,"..Publishing of books, periodicals and other publishing activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,..Software publishing,,,,,,,,,,,,,
..Bicol Region,"..Motion picture, video and television programme activities",4,49,49,18,120937,114608,6487,108121,25098,-,-,-,-
..Bicol Region,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Bicol Region,..Radio broadcasting,40,417,380,4,137022,113231,40576,72655,83135,3499,-133,-,14
..Bicol Region,..Television programming and broadcasting activities,6,96,96,-,886672,885415,303291,582124,482369,-,4133,-,4
..Bicol Region,..Wired telecommunications activities,3,123,121,-,139881,132724,14582,118142,36582,20000,-1909,-,-
..Bicol Region,..Wireless telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,..Satellite telecommunications activities,20,226,224,-,103437,79080,20717,58364,49493,908,152,-,-
..Bicol Region,..Other telecommunications activities,92,249,187,-,54102,51303,12794,38509,22370,1976,-1260,-,-
..Bicol Region,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,..Other information service activities,,,,,,,,,,,,,
..Western Visayas,Information and Communication,183,3515,3474,93,11660212,6614843,2617605,3997238,9084658,69008,5267,2092,13
..Western Visayas,"..Publishing of books, periodicals and other publishing activities",10,235,235,-,85298,80160,12781,67379,20550,-,-,-,-
..Western Visayas,..Software publishing,,,,,,,,,,,,,
..Western Visayas,"..Motion picture, video and television programme activities",9,98,98,40,1000401,199309,42390,156919,906748,25120,64,240,-
..Western Visayas,..Sound recording and music publishing activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Western Visayas,..Radio broadcasting,42,998,985,12,850431,662596,286513,376083,538836,8659,-3672,-,13
..Western Visayas,..Television programming and broadcasting activities,10,162,162,-,1385570,1345142,485795,859346,781046,-,5629,-,-
..Western Visayas,..Wired telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Western Visayas,..Wireless telecommunications activities,3,38,38,-,15065,12034,5353,6680,9652,-,-230,-,-
..Western Visayas,..Satellite telecommunications activities,19,687,684,3,7718994,3880627,1591450,2289176,6432288,5619,523,-,-
..Western Visayas,..Other telecommunications activities,74,246,222,14,122330,99336,15281,84055,43445,984,-1192,-,-
..Western Visayas,"..Computer programming, consultancy and related activities",12,201,201,20,115329,103341,43102,60239,59735,1536,1255,-,-
..Western Visayas,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s,s
..Western Visayas,..Other information service activities,,,,,,,,,,,,,
..Central Visayas,Information and Communication,422,15790,15718,470,16019971,14675164,7618868,7056296,9848900,361011,-12476,238461,8747
..Central Visayas,"..Publishing of books, periodicals and other publishing activities",12,1385,1382,-,1021409,963932,681924,282008,773143,1923,-1113,-,-
..Central Visayas,..Software publishing,,,,,,,,,,,,,
..Central Visayas,"..Motion picture, video and television programme activities",12,118,115,3,243169,166992,19050,147942,142522,-,-9,-,-
..Central Visayas,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Central Visayas,..Radio broadcasting,35,599,587,22,379668,273338,103397,169941,245636,-,11,-,16
..Central Visayas,..Television programming and broadcasting activities,4,87,84,1,672233,627104,252141,374964,400410,-,2159,-,-
..Central Visayas,..Wired telecommunications activities,,,,,,,,,,,,,
..Central Visayas,..Wireless telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Visayas,..Satellite telecommunications activities,23,847,847,127,1197563,1137565,164571,972995,487929,58791,-4393,-,-
..Central Visayas,..Other telecommunications activities,205,1237,1193,6,374372,379705,163348,216357,175853,4093,-378,-,-
..Central Visayas,"..Computer programming, consultancy and related activities",116,8881,8875,296,10132086,9482955,5367031,4115924,6280400,201538,-8633,238461,8731
..Central Visayas,"..Data processing, hosting and related activities; web portals",10,2434,2433,12,1887661,1539993,795134,744859,1259325,80722,-103,-,-
..Central Visayas,..Other information service activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,Information and Communication,133,2699,2641,11,1245314,941390,481531,459859,909922,145769,-7671,-,1210
..Eastern Visayas,"..Publishing of books, periodicals and other publishing activities",,,,,,,,,,,,,
..Eastern Visayas,..Software publishing,,,,,,,,,,,,,
..Eastern Visayas,"..Motion picture, video and television programme activities",3,21,21,11,195923,29079,7074,22005,181851,-,-,-,-
..Eastern Visayas,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Eastern Visayas,..Radio broadcasting,17,158,146,-,56851,45282,21990,23292,38429,752,16,-,1210
..Eastern Visayas,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Wired telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Wireless telecommunications activities,,,,,,,,,,,,,
..Eastern Visayas,..Satellite telecommunications activities,22,263,263,-,119848,96797,26157,70639,63355,2453,-7689,-,-
..Eastern Visayas,..Other telecommunications activities,82,208,163,-,56795,40755,11494,29262,26929,3446,-926,-,-
..Eastern Visayas,"..Computer programming, consultancy and related activities",3,6,4,-,1735,1548,506,1042,812,3527,22,-,-
..Eastern Visayas,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Other information service activities,,,,,,,,,,,,,
..Zamboanga Peninsula,Information and Communication,105,535,487,19,802916,733875,224398,509477,446659,20507,2913,-,11
..Zamboanga Peninsula,"..Publishing of books, periodicals and other publishing activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,..Software publishing,,,,,,,,,,,,,
..Zamboanga Peninsula,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Zamboanga Peninsula,..Radio broadcasting,27,192,185,18,159034,118156,43846,74310,103171,282,84,-,11
..Zamboanga Peninsula,..Television programming and broadcasting activities,5,55,55,-,484541,488113,159844,328270,253574,860,2288,-,-
..Zamboanga Peninsula,..Wired telecommunications activities,,,,,,,,,,,,,
..Zamboanga Peninsula,..Wireless telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,..Satellite telecommunications activities,13,113,101,1,44036,35899,6913,28986,24742,2307,543,-,-
..Zamboanga Peninsula,..Other telecommunications activities,54,144,117,-,39617,31187,9932,21254,32143,17059,-59,-,-
..Zamboanga Peninsula,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,"..Data processing, hosting and related activities; web portals",,,,,,,,,,,,,
..Zamboanga Peninsula,..Other information service activities,,,,,,,,,,,,,
..Northern Mindanao,Information and Communication,136,1688,1561,950,4593821,3752081,615470,3136612,2421122,679033,24199,2572,11
..Northern Mindanao,"..Publishing of books, periodicals and other publishing activities",3,27,27,13,159745,138666,14059,124608,42996,-,1108,-,-
..Northern Mindanao,..Software publishing,,,,,,,,,,,,,
..Northern Mindanao,"..Motion picture, video and television programme activities",6,152,152,814,2166860,1811494,36571,1774923,980572,131438,-,-,-
..Northern Mindanao,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Northern Mindanao,..Radio broadcasting,33,387,374,-,376803,301928,111870,190058,226281,12514,33,-,11
..Northern Mindanao,..Television programming and broadcasting activities,4,55,55,13,598766,588210,207660,380551,331899,-,2591,-,-
..Northern Mindanao,..Wired telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,..Wireless telecommunications activities,,,,,,,,,,,,,
..Northern Mindanao,..Satellite telecommunications activities,12,326,307,3,320859,309298,68394,240903,250570,389068,7013,-,-
..Northern Mindanao,..Other telecommunications activities,65,440,344,-,399548,320294,84302,235992,174746,14863,1449,-,-
..Northern Mindanao,"..Computer programming, consultancy and related activities",10,209,209,-,105436,94995,44750,50245,64285,16214,-410,2572,-
..Northern Mindanao,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,..Other information service activities,,,,,,,,,,,,,
..Davao Region,Information and Communication,150,1605,1597,293,3508846,2944517,550516,2394001,1434260,42161,18796,-,12
..Davao Region,"..Publishing of books, periodicals and other publishing activities",9,119,119,19,96779,93455,22859,70596,36816,-,-1147,-,-
..Davao Region,..Software publishing,,,,,,,,,,,,,
..Davao Region,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Davao Region,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Davao Region,..Radio broadcasting,27,241,237,11,229841,178265,79032,99233,150240,5281,-127,-,12
..Davao Region,..Television programming and broadcasting activities,4,68,68,-,562530,500488,218422,282066,352102,-,1357,-,-
..Davao Region,..Wired telecommunications activities,,,,,,,,,,,,,
..Davao Region,..Wireless telecommunications activities,,,,,,,,,,,,,
..Davao Region,..Satellite telecommunications activities,14,229,229,262,582792,512453,60685,451768,190504,-,18419,-,-
..Davao Region,..Other telecommunications activities,69,248,244,2,72405,64195,19144,45051,34730,12,52,-,-
..Davao Region,"..Computer programming, consultancy and related activities",23,553,553,-,169124,164174,110569,53605,123275,577,243,-,-
..Davao Region,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s,s
..Davao Region,..Other information service activities,,,,,,,,,,,,,
..SOCCSKSARGEN,Information and Communication,126,1038,1008,58,2205719,10204305,731999,9472307,6741554,41003,3851,-,320
..SOCCSKSARGEN,"..Publishing of books, periodicals and other publishing activities",,,,,,,,,,,,,
..SOCCSKSARGEN,..Software publishing,,,,,,,,,,,,,
..SOCCSKSARGEN,"..Motion picture, video and television programme activities",6,49,49,13,755274,9113511,377056,8736456,7614265,-,-,-,-
..SOCCSKSARGEN,..Sound recording and music publishing activities,,,,,,,,,,,,,
..SOCCSKSARGEN,..Radio broadcasting,34,324,324,3,289885,233295,97229,136065,183270,11969,-474,-,302
..SOCCSKSARGEN,..Television programming and broadcasting activities,4,85,85,-,496149,476598,167008,309590,278913,-,2097,-,19
..SOCCSKSARGEN,..Wired telecommunications activities,3,85,85,-,80277,71668,21895,49774,38421,6062,-48,-,-
..SOCCSKSARGEN,..Wireless telecommunications activities,,,,,,,,,,,,,
..SOCCSKSARGEN,..Satellite telecommunications activities,19,251,251,14,382113,145894,25750,120144,277073,9674,2285,-,-
..SOCCSKSARGEN,..Other telecommunications activities,52,165,139,6,80717,55288,10256,45032,40951,10154,-5,-,-
..SOCCSKSARGEN,"..Computer programming, consultancy and related activities",8,79,76,22,121304,108051,32805,75247,54083,3144,-4,-,-
..SOCCSKSARGEN,"..Data processing, hosting and related activities; web portals",,,,,,,,,,,,,
..SOCCSKSARGEN,..Other information service activities,,,,,,,,,,,,,
..Caraga,Information and Communication,49,534,528,7,459351,396354,121680,274674,243932,1976,-19195,-,-
..Caraga,"..Publishing of books, periodicals and other publishing activities",,,,,,,,,,,,,
..Caraga,..Software publishing,,,,,,,,,,,,,
..Caraga,"..Motion picture, video and television programme activities",,,,,,,,,,,,,
..Caraga,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Caraga,..Radio broadcasting,16,137,136,-,87158,72351,30406,41945,55871,63,-68,-,-
..Caraga,..Television programming and broadcasting activities,4,52,52,-,177707,173800,59648,114152,97603,142,740,-,-
..Caraga,..Wired telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,..Wireless telecommunications activities,,,,,,,,,,,,,
..Caraga,..Satellite telecommunications activities,9,243,241,7,132962,114466,24196,90269,53749,1370,-19303,-,-
..Caraga,..Other telecommunications activities,17,57,54,-,45594,20396,4498,15898,31521,400,-54,-,-
..Caraga,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,"..Data processing, hosting and related activities; web portals",,,,,,,,,,,,,
..Caraga,..Other information service activities,,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,Information and Communication,8,56,54,2,55157,55238,4289,50949,7049,8351,639,-,-
..Autonomous Region in Muslim Mindanao,"..Publishing of books, periodicals and other publishing activities",,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,..Software publishing,,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,"..Motion picture, video and television programme activities",,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,..Radio broadcasting,4,21,19,2,3430,3829,2106,1722,1427,471,3,-,-
..Autonomous Region in Muslim Mindanao,..Television programming and broadcasting activities,,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,..Wired telecommunications activities,,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,..Wireless telecommunications activities,,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,..Satellite telecommunications activities,4,35,35,-,51727,51409,2183,49227,5623,7880,636,-,-
..Autonomous Region in Muslim Mindanao,..Other telecommunications activities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Autonomous Region in Muslim Mindanao,"..Computer programming, consultancy and related activities",,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,"..Data processing, hosting and related activities; web portals",,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,..Other information service activities,,,,,,,,,,,,,
